                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8592,                0.82864,                 1.1656,                0.84068,                0.71517,                0.80328,                0.58727,                0.99841,                 0.9859,                 1.3366,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80459,                0.75803,                  1.147,                 0.8399,                 0.7201,                0.78828,                0.56166,                  1.102,                 1.0279,                 1.4155,              0.0010894,              0.0010894,              0.0010894
                     37,                0.85055,                0.80643,                 1.1672,                0.79446,                 0.6638,                0.69302,                0.47619,                 1.1188,                  1.251,                 1.4128,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.8411,                0.77367,                 1.1615,                0.80417,                0.69441,                0.77582,                0.54805,                 1.1011,                 1.1695,                 1.4152,              0.0010564,              0.0010564,              0.0010564
                     39,                0.83707,                0.79178,                 1.1766,                 0.7838,                 0.7281,                0.76048,                0.53209,                 1.1209,                 1.1056,                 1.4373,              0.0010399,              0.0010399,              0.0010399
                     40,                0.81852,                0.75457,                 1.1523,                0.85273,                0.68168,                0.77996,                0.55106,                 1.0683,                 1.1087,                 1.4022,              0.0010234,              0.0010234,              0.0010234
                     41,                0.84939,                0.79098,                 1.1923,                0.81594,                 0.7548,                0.80035,                0.56617,                   1.02,                  1.022,                 1.3533,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.7992,                0.74119,                 1.1557,                0.85181,                0.69478,                0.79089,                0.56763,                 1.0265,                 1.0004,                 1.3617,             0.00099036,             0.00099036,             0.00099036
                     43,                0.80017,                0.72863,                 1.1433,                0.81949,                0.75329,                0.80125,                 0.5859,                0.95717,                0.95388,                  1.346,             0.00097386,             0.00097386,             0.00097386
                     44,                0.80038,                0.74904,                 1.1564,                0.81021,                 0.7423,                0.82005,                 0.5832,                 1.0654,                0.93834,                 1.4116,             0.00095736,             0.00095736,             0.00095736
                     45,                0.76684,                0.69395,                 1.1438,                0.73584,                0.77861,                0.79174,                0.56781,                 1.0333,                0.94433,                 1.4037,             0.00094085,             0.00094085,             0.00094085
                     46,                0.79268,                0.74452,                 1.1366,                0.80831,                0.75249,                0.79472,                0.57549,                 1.0559,                  0.934,                 1.3954,             0.00092435,             0.00092435,             0.00092435
                     47,                0.78165,                 0.7222,                 1.1312,                0.77974,                0.73141,                0.76406,                0.55193,                 1.0214,                 0.9964,                 1.3808,             0.00090785,             0.00090785,             0.00090785
                     48,                0.76284,                0.70787,                 1.1338,                0.82198,                0.74947,                0.80529,                0.58324,                 1.0256,                0.90882,                  1.405,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78541,                0.69353,                 1.1216,                 0.8206,                0.73383,                0.79504,                0.54079,                 1.0749,                0.97414,                 1.3623,             0.00087484,             0.00087484,             0.00087484
                     50,                0.75221,                0.68331,                 1.1186,                0.84011,                0.72122,                0.79056,                0.57029,                 1.0093,                0.97583,                 1.3266,             0.00085834,             0.00085834,             0.00085834
                     51,                0.75137,                0.68243,                 1.1054,                0.82318,                0.73614,                0.81422,                0.58079,                  1.027,                0.92929,                 1.3741,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75846,                0.70339,                  1.126,                0.84821,                0.69367,                0.79817,                0.56523,                 1.0139,                   1.01,                 1.3456,             0.00082533,             0.00082533,             0.00082533
                     53,                0.75805,                0.69583,                 1.1214,                0.85262,                0.74274,                0.81643,                0.57922,                0.99188,                0.91665,                  1.315,             0.00080883,             0.00080883,             0.00080883
                     54,                0.74527,                0.68451,                 1.0992,                0.77727,                  0.754,                0.76701,                0.55215,                 0.9995,                0.98791,                 1.3365,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72146,                0.65062,                   1.11,                0.78325,                0.75881,                0.78899,                0.56745,                 1.0274,                0.99254,                 1.3227,             0.00077582,             0.00077582,             0.00077582
                     56,                0.74552,                0.67612,                 1.1062,                0.84563,                0.72645,                 0.8134,                0.60011,                0.96478,                0.89113,                  1.312,             0.00075932,             0.00075932,             0.00075932
                     57,                0.71436,                 0.6385,                 1.0918,                0.77654,                0.77114,                0.80552,                0.58852,                0.98787,                0.94926,                  1.304,             0.00074282,             0.00074282,             0.00074282
                     58,                0.71862,                0.64053,                 1.0865,                0.85195,                 0.7548,                0.81439,                0.58406,                0.98164,                0.90233,                 1.3242,             0.00072631,             0.00072631,             0.00072631
                     59,                0.71553,                0.65178,                 1.0934,                0.85471,                0.76003,                0.81886,                0.60041,                0.97324,                0.86736,                  1.314,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71053,                0.62728,                  1.092,                0.77277,                0.81138,                 0.8199,                0.59741,                 1.0154,                  0.859,                 1.3481,             0.00069331,             0.00069331,             0.00069331
                     61,                0.72626,                0.64283,                 1.0898,                  0.851,                0.71436,                0.81357,                0.59848,                0.99274,                0.88305,                 1.3429,              0.0006768,              0.0006768,              0.0006768
                     62,                0.67326,                0.59261,                 1.0749,                0.84128,                0.73836,                0.82384,                0.59864,                0.97094,                0.85828,                  1.287,              0.0006603,              0.0006603,              0.0006603
                     63,                0.67854,                0.61624,                 1.0557,                0.90009,                0.69904,                0.82642,                0.60407,                  0.973,                0.86698,                 1.2885,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.7136,                0.65124,                 1.0894,                0.74071,                0.79176,                0.83278,                 0.6215,                0.95001,                0.84867,                 1.2782,             0.00062729,             0.00062729,             0.00062729
                     65,                0.67682,                0.61439,                  1.071,                 0.8237,                0.70421,                0.81457,                0.60278,                0.95347,                  0.939,                 1.2514,             0.00061079,             0.00061079,             0.00061079
                     66,                0.68665,                0.62257,                 1.0745,                0.81204,                0.76439,                0.81316,                0.58977,                0.98184,                0.90496,                 1.2952,             0.00059429,             0.00059429,             0.00059429
                     67,                0.67918,                0.58156,                 1.0565,                0.89102,                0.73312,                0.82239,                0.61126,                0.93201,                0.77544,                 1.2706,             0.00057778,             0.00057778,             0.00057778
                     68,                0.67168,                0.56789,                 1.0692,                0.82049,                0.77517,                 0.8369,                0.60504,                0.99292,                0.79092,                 1.3213,             0.00056128,             0.00056128,             0.00056128
                     69,                0.65701,                 0.5771,                 1.0536,                0.84075,                0.80544,                 0.8404,                0.62189,                0.93435,                0.72705,                 1.3028,             0.00054478,             0.00054478,             0.00054478
                     70,                0.66005,                 0.5749,                 1.0525,                0.85315,                0.77995,                0.83268,                0.61286,                0.91167,                0.77548,                 1.2671,             0.00052827,             0.00052827,             0.00052827
                     71,                0.65301,                0.55907,                 1.0695,                0.81793,                0.79627,                0.82437,                0.60763,                 0.9265,                0.81003,                 1.2742,             0.00051177,             0.00051177,             0.00051177
                     72,                0.64569,                 0.5767,                 1.0576,                0.81905,                0.78653,                0.83418,                0.61198,                0.95081,                0.80882,                 1.2897,             0.00049527,             0.00049527,             0.00049527
                     73,                0.66106,                0.56843,                 1.0613,                0.82974,                0.80846,                0.83436,                0.62267,                 0.9158,                0.78852,                 1.2685,             0.00047876,             0.00047876,             0.00047876
                     74,                0.62841,                0.55598,                 1.0386,                 0.8355,                0.79655,                0.83676,                0.62273,                 0.9365,                0.77696,                 1.2703,             0.00046226,             0.00046226,             0.00046226
                     75,                0.63488,                0.56861,                 1.0459,                0.88009,                0.76133,                0.85325,                0.62589,                 0.9631,                 0.7763,                  1.293,             0.00044576,             0.00044576,             0.00044576
                     76,                0.62654,                0.54324,                  1.049,                0.87582,                0.75329,                0.85828,                0.63368,                 0.9665,                0.78135,                 1.3157,             0.00042925,             0.00042925,             0.00042925
                     77,                0.63277,                0.55603,                 1.0554,                0.81527,                0.76303,                0.84047,                0.62356,                0.94907,                0.80621,                  1.273,             0.00041275,             0.00041275,             0.00041275
                     78,                0.63117,                0.55728,                 1.0412,                0.84208,                0.74431,                0.83645,                 0.6233,                0.91894,                0.79923,                 1.2657,             0.00039625,             0.00039625,             0.00039625
                     79,                0.64734,                 0.5829,                 1.0567,                0.83607,                0.75791,                0.83588,                0.61932,                0.90544,                0.78382,                 1.2594,             0.00037974,             0.00037974,             0.00037974
                     80,                0.61587,                0.52726,                 1.0236,                0.86703,                0.73047,                0.83648,                0.62734,                 0.9352,                0.76252,                 1.2827,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.6114,                0.54599,                 1.0468,                0.87074,                0.75773,                0.83833,                0.62399,                0.94581,                0.76937,                 1.2853,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.5994,                0.52712,                 1.0226,                0.89956,                0.73719,                0.84451,                0.62983,                0.90593,                0.73822,                 1.2613,             0.00033023,             0.00033023,             0.00033023
